id,fecha,usuario,texto,tema,sentimiento,likes,reposts,texto_original
1,2022-05-01,user_44220,presión ser productivo tiempo quemando generación entera vida debe ser rendimiento,Generación Z y crisis de sentido,neutral,1056,2652,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.
2,2024-03-21,user_8463,proyectos vida largo plazo hoy parece identidad cambia tan rápido tendencias tiktok,Cultura de lo efímero y proyectos de vida,neutral,4032,566,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.
3,2022-12-21,user_26421,cada vez app recomienda ver comprar siento renuncio libertad elección,Cultura de lo efímero y proyectos de vida,neutral,7884,1817,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección."
4,2022-09-04,user_24985,mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure,Cultura de lo efímero y proyectos de vida,neutral,8695,3614,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.
5,2022-01-15,user_71752,seguimos siendo sujetos libres algoritmos determinan contenido vemos contenido nunca aparece,Cultura de lo efímero y proyectos de vida,negativo,16384,2610,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?
6,2022-08-04,user_5708,tan acostumbrados recompensa instantánea cualquier proyecto requiera paciencia parece imposible,Generación Z y crisis de sentido,negativo,11176,4637,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.
10,2023-03-29,user_14060,ruido constante redes sociales hace difícil encontrar silencio interior cómo pensar profundamente medio tantas distracciones,IA y pérdida de autonomía humana,negativo,3997,3657,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones?
13,2022-08-14,user_26,proyectos vida largo plazo hoy parece identidad cambia tan rápido tendencias tiktok jóvenes sienten futuro incierto falta oportunidades sino exceso opciones terminan paralizando,IA y pérdida de autonomía humana,neutral,19266,4947,"Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok. Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando."
15,2023-05-24,user_55151,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación cultura actual parece obsesionada nuevo inmediato dejando espacio reflexión compromiso duradero,Cultura de lo efímero y proyectos de vida,neutral,9527,4267,"A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero."
16,2023-04-15,user_55746,generación enfrenta dilema existencial querer cambiar mundo atrapada dinámicas inmediatez consumo constante,Cultura de lo efímero y proyectos de vida,negativo,17860,664,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante."
20,2023-02-21,user_52138,tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida,Cultura de lo efímero y proyectos de vida,negativo,18676,4627,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.
21,2022-04-22,user_92895,tan acostumbrados recompensa instantánea cualquier proyecto requiera paciencia parece imposible presión ser productivo tiempo quemando generación entera vida debe ser rendimiento,Cultura de lo efímero y proyectos de vida,positivo,16469,3518,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible. La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.
22,2023-02-25,user_81839,puede predecir emociones precisión inquietante queda entonces espontaneidad presión ser productivo tiempo quemando generación entera vida debe ser rendimiento,Generación Z y crisis de sentido,positivo,914,436,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad? La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.
23,2023-11-01,user_79067,jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos,Generación Z y crisis de sentido,positivo,7422,3361,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos."
24,2022-11-13,user_50251,cultura actual parece obsesionada nuevo inmediato dejando espacio reflexión compromiso duradero,Generación Z y crisis de sentido,positivo,2219,4766,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero."
26,2022-06-20,user_46881,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación,Cultura de lo efímero y proyectos de vida,positivo,3323,2500,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación.
27,2022-06-02,user_63099,relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta,Generación Z y crisis de sentido,neutral,5725,3733,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?
28,2022-07-05,user_83785,presión ser productivo tiempo quemando generación entera vida debe ser rendimiento tanta información desafío aprender sino filtrar exceso conocimiento puede ser forma moderna confusión,Cultura de lo efímero y proyectos de vida,neutral,7186,621,"La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento. Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión."
31,2023-07-18,user_10258,tanta información desafío aprender sino filtrar exceso conocimiento puede ser forma moderna confusión,Cultura de lo efímero y proyectos de vida,positivo,19680,233,"Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión."
34,2023-12-09,user_43722,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación vínculos afectivos hoy frágiles nunca inmediatez afecta relaciones humanas,IA y pérdida de autonomía humana,negativo,15985,1109,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.
36,2023-01-07,user_45077,jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos tanta información desafío aprender sino filtrar exceso conocimiento puede ser forma moderna confusión,Generación Z y crisis de sentido,negativo,5901,2108,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos. Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión."
37,2023-08-16,user_79168,mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos,Generación Z y crisis de sentido,negativo,7551,3389,"Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos."
39,2023-05-23,user_82576,tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida tan acostumbrados recompensa instantánea cualquier proyecto requiera paciencia parece imposible,Generación Z y crisis de sentido,positivo,14131,3879,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida. Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.
