id,fecha,usuario,texto,tema,sentimiento,likes,reposts,tipo,texto_original
1,2025-09-22,Pablo Malo,toda generación pronosticado atontamiento generaciones siguientes culpa alguna nueva tecnología hace presuntamente fácil generalmente predicción sido totalmente desacertada mismo platón alertó peligros escritura según visión iba mermar capacidad mnemónica debilitando habilidad mental funciona así extensión cognitiva cerebro delega elementos atrofian sino reinvierten tareas reespecializan nuevas funciones menudo funciones coordinación información externa extiende mente extienden capacidades,"IA , perdida de autonomia humana y Generacion Z",negativo,1800,492,Tweet 1,"Toda generación ha pronosticado el atontamiento de las generaciones siguientes, por culpa de alguna nueva tecnología que lo hace presuntamente todo más fácil, pero generalmente la predicción ha sido totalmente desacertada. El mismo Platón alertó sobre los peligros de la escritura, que según su visión ¡iba a mermar la capacidad mnemónica, debilitando la habilidad mental! Pero no, no funciona así la extensión cognitiva. Cuando el cerebro delega, sus elementos no se atrofian, sino que se reinvierten en otras tareas, se reespecializan en nuevas funciones, a menudo funciones de coordinación de la información externa. Se extiende la mente, se extienden sus capacidades"
2,2025-09-22,Julio Mayol,interesante pablo ver cómo cerebro gran simio construye pasado platón sino sócrates escritura,"IA , perdida de autonomia humana y Generacion Z",positivo,8,0,Respuesta tweet 1,"Lo interesante, Pablo, es ver cómo el cerebro de ese gran simio que somos construye el pasado. No era Platón, sino Sócrates, el que estaba en contra de la escritura"
3,2025-09-22,Metartista2,diferencia avances tecnológicos anteriores extensión facultades humanas literal sustitución capacidad pensar,"IA , perdida de autonomia humana y Generacion Z",neutral,85,5,Respuesta tweet 1,Con la diferencia de que todos los avances tecnológicos anteriores eran una extensión de las facultades humanas y no una literal sustitución a la capacidad de pensar.
4,2025-09-22,Mariona Gúmpert,caso cerebro desarrolle habilidad caso enganche pantallas scrolling demás acabo ver habilidad generan,"IA , perdida de autonomia humana y Generacion Z",neutral,43,0,Respuesta tweet 1,"Pero eso es en el caso de que tu cerebro desarrolle otra habilidad. En el caso del enganche a las pantallas, al scrolling y demás no acabo de ver qué habilidad generan."
5,2025-09-22,Ángel Sánchez Bahíllo,uso escritura produce merma capacidad mnemónica sociedades preliterarias memoria superior capaces recordar comprar escribimos lista,"IA , perdida de autonomia humana y Generacion Z",negativo,2,1,Respuesta tweet 1,"El uso de la escritura produce una merma de la capacidad mnemónica. Las sociedades preliterarias tienen una memoria superior a la nuestra, que no somos capaces de recordar lo que tenemos que comprar si no escribimos una lista."
6,2025-09-22,elcacharifas,pesimistas ejemplo ignorancia fronteras hoy llega trending facilidad difundir mentiras redes hecho proporción gente crea cosas tierra plana charlatanes llegue poder macuspana,"IA , perdida de autonomia humana y Generacion Z",negativo,0,0,Respuesta tweet 1,"Yo soy de esos pesimistas, por ejemplo antes la ignorancia tenía fronteras. Hoy llega en trending. La facilidad para difundir mentiras en redes ha hecho que, en proporción, más gente crea cosas como que la Tierra es plana, o que los charlatanes llegue al poder. (Como el de Macuspana)"
7,2025-09-22,"Sergio Castillo, MD, PhD",interesante post embargo cierto pasamos años debíamos recordar números teléfono direcciones nuevas generaciones cuentan gps celulares suplen función mermando capacidad mnemónica,"IA , perdida de autonomia humana y Generacion Z",positivo,0,0,Respuesta tweet 1,"Muy interesante el post. Sin embargo algo de cierto hay en eso. Los que pasamos de los 40 años debíamos recordar números de teléfono y direcciones; las nuevas generaciones cuentan con GPS y celulares que suplen esa función, mermando la capacidad mnemónica."
8,2025-09-22,Mirkolaser,tecnología empieza generar satisfacción inmediata reemplaza pensamiento crítico problema,"IA , perdida de autonomia humana y Generacion Z",neutral,0,0,Respuesta tweet 1,"Pero si la tecnología empieza a generar satisfacción inmediata y reemplaza al pensamiento crítico, ya es un problema"
9,2025-09-22,Julián Cuevas ,pues dato contrario primera generación ligeramente menor padres primera vez solo indicador ahí después varias décadas aplicación,"IA , perdida de autonomia humana y Generacion Z",neutral,0,0,Respuesta tweet 1,"Pues ya hay un dato en sentido contrario. Primera generación con IQ ligeramente menor a sus padres por primera vez. Sí, es solo un indicador, pero ahí está después de varias décadas de aplicación."
10,2025-09-22,sergio palomino,tantas predicciones fallidas demuestran alto índice fabilidad intención acontezcan cosa buenas resumen genialidad aspecto define alta calidad,"IA , perdida de autonomia humana y Generacion Z",negativo,0,0,Respuesta tweet 1,"Tantas predicciones fallidas demuestran un alto índice de fabilidad, pero también en la intención de que acontezcan cosa buenas. En resumen, la genialidad en un aspecto no define la alta calidad en otro."
